,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
1,427,356,343,309,273,288,279,205,222,144,176,158,164,74
2,364,342,362,291,204,231,271,224,222,207,152,135,143,55
3,342,343,339,318,226,246,232,216,215,202,166,147,139,53
4,380,336,371,315,256,241,238,218,202,183,157,140,142,63
5,306,314,328,272,261,227,244,253,199,209,129,196,176,69
6,397,352,346,312,247,238,282,224,184,184,159,156,176,62
7,365,331,343,277,265,263,263,265,225,177,130,164,157,49
8,409,322,334,339,283,281,250,238,185,161,126,168,171,78
9,346,348,333,298,259,204,218,279,249,153,150,150,141,51
10,375,324,311,284,255,213,230,231,222,161,139,174,188,69
11,388,353,293,329,260,244,203,234,203,192,140,177,152,60
12,381,339,263,332,251,226,240,228,231,203,157,146,182,50
13,425,352,223,290,260,237,247,201,293,189,126,162,183,73
14,421,344,193,273,252,220,226,262,261,194,149,168,156,66
15,435,391,253,299,236,281,267,265,214,196,153,154,155,71
16,439,333,254,302,276,229,275,236,250,171,186,205,167,62
17,428,355,256,288,240,238,245,227,250,170,160,178,163,60
18,438,370,297,327,276,249,277,219,190,157,138,174,187,54
19,405,399,271,337,329,259,279,234,224,215,167,161,189,56
20,403,376,302,320,304,276,260,295,203,208,146,182,184,85
21,442,402,250,361,296,277,288,260,227,216,164,178,182,53
22,430,355,225,375,306,270,280,244,197,210,144,173,170,65
23,446,369,252,349,333,245,278,266,230,213,174,159,166,48
24,428,347,277,328,320,292,285,225,220,228,164,177,215,62
25,485,414,264,347,340,308,257,227,237,199,158,150,179,59
26,415,372,275,308,324,307,318,260,215,249,160,162,187,239
27,419,390,291,363,302,265,264,342,212,201,149,191,202,161
28,410,392,307,368,319,339,264,303,244,270,174,183,166,167
29,461,453,317,370,335,300,302,282,238,294,163,190,204,159
30,415,375,357,376,343,328,329,256,240,221,156,175,183,173
31,308,428,333,327,338,270,256,262,221,203,185,176,192,152
32,,390,315,346,318,278,285,302,285,216,173,188,209,163
33,,402,322,379,331,253,281,315,268,257,158,163,196,165
34,,434,312,363,344,275,219,287,245,277,135,171,169,177
35,,384,339,335,349,253,242,271,227,227,169,174,156,141
36,,418,336,317,321,294,276,239,258,253,163,165,144,115
37,,389,343,349,290,269,280,240,250,189,180,175,177,138
38,,457,330,361,312,330,260,266,239,231,181,170,213,216
39,,396,374,364,267,271,256,328,272,216,149,184,198,132
40,,396,359,396,293,331,248,247,220,199,176,130,172,166
41,,420,421,359,282,271,219,245,244,201,147,160,172,181
42,,429,406,357,281,278,239,227,217,194,151,153,174,131
43,,384,405,326,287,251,276,233,205,164,156,122,174,158
44,,385,397,320,278,253,244,239,209,164,166,150,188,161
45,,401,392,343,301,291,234,266,208,179,163,166,142,166
46,,366,392,317,296,275,223,242,191,172,132,153,124,146
47,,354,404,303,304,231,248,229,223,197,148,137,174,139
48,,374,377,299,237,266,246,208,219,149,129,161,166,184
49,,369,382,304,276,234,232,237,210,215,158,163,149,122
50,,398,327,309,263,255,251,243,215,178,131,125,115,168
51,,336,342,348,317,229,245,282,190,164,144,102,153,148
52,,374,384,387,286,224,235,293,217,178,182,164,140,163
53,,,394,,,,,,192,,,,,
